event_id,date,rep_id,start_time,planned_duration_min,actual_duration_min,account_id,segment_at_call,brand_id,brand_priority,outcome,scenario_id
54,2024-01-01,9,09:00,60,60,195,C,4,0.5000,completed,actual
55,2024-01-01,9,10:15,75,0,1629,A,4,0.5000,no_show,actual
56,2024-01-01,9,11:45,30,30,269,C,5,0.5000,completed,actual
57,2024-01-01,9,12:30,30,15,1929,C,4,0.5000,abbreviated,actual
58,2024-01-01,9,13:15,30,30,280,C,5,0.5000,completed,actual
59,2024-01-01,9,14:00,30,30,1821,C,5,0.5000,completed,actual
60,2024-01-01,10,09:00,45,45,1377,B,4,0.5000,completed,actual
61,2024-01-01,10,10:00,45,45,1451,C,5,0.5000,completed,actual
62,2024-01-01,10,11:00,30,30,790,B,4,0.5000,completed,actual
63,2024-01-01,10,11:45,45,45,273,B,4,0.5000,completed,actual
64,2024-01-01,10,12:45,30,30,1548,B,4,0.5000,completed,actual
65,2024-01-01,11,09:00,30,30,899,C,1,0.5000,completed,actual
66,2024-01-01,11,09:45,30,30,1179,C,1,0.5000,completed,actual
67,2024-01-01,11,10:30,30,30,1612,C,1,0.5000,completed,actual
68,2024-01-01,11,11:15,30,30,1426,A,0,0.5000,completed,actual
69,2024-01-01,11,12:00,30,30,854,C,1,0.5000,completed,actual
70,2024-01-01,11,12:45,30,30,571,C,1,0.5000,completed,actual
71,2024-01-01,12,09:00,30,30,185,C,1,0.5000,completed,actual
72,2024-01-01,12,09:45,45,45,681,A,1,0.5000,completed,actual
73,2024-01-01,12,10:45,45,45,970,B,0,0.5000,completed,actual
74,2024-01-01,12,11:45,75,75,2,B,1,0.5000,completed,actual
75,2024-01-01,12,13:15,75,75,1590,A,1,0.5000,completed,actual
76,2024-01-01,12,14:45,30,30,295,C,0,0.5000,completed,actual
77,2024-01-01,12,15:30,60,60,163,B,1,0.5000,completed,actual
78,2024-01-01,13,09:00,30,30,839,C,4,0.5000,completed,actual
79,2024-01-01,13,09:45,30,0,1544,B,4,0.5000,no_show,actual
80,2024-01-01,13,10:30,30,30,75,B,5,0.5000,completed,actual
81,2024-01-01,13,11:15,45,22,1049,C,5,0.5000,abbreviated,actual
82,2024-01-01,13,12:15,30,30,219,C,4,0.5000,completed,actual
83,2024-01-01,14,09:00,45,45,1737,B,3,0.5000,completed,actual
84,2024-01-01,14,10:00,30,30,1541,B,3,0.5000,completed,actual
85,2024-01-01,14,10:45,30,30,826,B,3,0.5000,completed,actual
86,2024-01-01,14,11:30,30,30,183,B,3,0.5000,completed,actual
87,2024-01-01,14,12:15,30,15,1260,C,2,0.5000,abbreviated,actual
88,2024-01-01,16,09:00,60,60,1285,B,0,0.5000,completed,actual
89,2024-01-01,16,10:15,45,0,1164,B,1,0.5000,no_show,actual
90,2024-01-01,16,11:15,60,0,458,B,1,0.5000,no_show,actual
91,2024-01-01,16,12:30,60,60,1060,C,0,0.5000,completed,actual
92,2024-01-01,17,09:00,75,37,1022,A,2,0.5000,abbreviated,actual
93,2024-01-01,17,10:30,30,30,990,C,3,0.5000,completed,actual
94,2024-01-01,17,11:15,30,30,730,C,3,0.5000,completed,actual
95,2024-01-01,17,12:00,45,45,1662,B,3,0.5000,completed,actual
96,2024-01-01,17,13:00,30,30,41,C,3,0.5000,completed,actual
97,2024-01-01,19,09:00,45,45,1249,B,1,0.5000,completed,actual
98,2024-01-01,19,10:00,30,30,820,C,1,0.5000,completed,actual
99,2024-01-01,19,10:45,30,30,1382,C,0,0.5000,completed,actual
100,2024-01-01,19,11:30,45,0,1139,B,0,0.5000,no_show,actual
101,2024-01-01,19,12:30,75,75,1799,A,0,0.5000,completed,actual
102,2024-01-01,19,14:00,30,30,328,C,0,0.5000,completed,actual
103,2024-01-02,0,09:00,60,60,1432,A,0,0.5000,completed,actual
104,2024-01-02,0,10:15,30,30,1291,C,1,0.5000,completed,actual
105,2024-01-02,0,11:00,30,15,1494,C,0,0.5000,abbreviated,actual
106,2024-01-02,0,11:45,45,22,929,A,0,0.5000,abbreviated,actual
107,2024-01-02,0,12:45,45,0,255,B,1,0.5000,no_show,actual
108,2024-01-02,0,13:45,30,15,1574,B,1,0.5000,abbreviated,actual
109,2024-01-02,0,14:30,60,60,1046,B,1,0.5000,completed,actual
110,2024-01-02,1,09:00,75,37,217,A,0,0.5000,abbreviated,actual
111,2024-01-02,1,10:30,30,30,795,C,1,0.5000,completed,actual
112,2024-01-02,1,11:15,30,30,657,B,0,0.5000,completed,actual
113,2024-01-02,1,12:00,45,45,1402,B,1,0.5000,completed,actual
114,2024-01-02,1,13:00,30,30,1856,C,0,0.5000,completed,actual
115,2024-01-02,1,13:45,45,45,1149,C,1,0.5000,completed,actual
116,2024-01-02,1,14:45,45,45,1362,B,0,0.5000,completed,actual
117,2024-01-02,2,09:00,30,30,1012,C,0,0.5000,completed,actual
118,2024-01-02,2,09:45,30,30,1044,B,1,0.5000,completed,actual
119,2024-01-02,2,10:30,30,30,1311,A,1,0.5000,completed,actual
120,2024-01-02,2,11:15,45,22,524,B,1,0.5000,abbreviated,actual
121,2024-01-02,2,12:15,30,30,886,A,1,0.5000,completed,actual
122,2024-01-02,2,13:00,30,30,1275,C,0,0.5000,completed,actual
123,2024-01-02,2,13:45,30,0,958,C,1,0.5000,no_show,actual
124,2024-01-02,2,14:30,30,30,1401,C,1,0.5000,completed,actual
125,2024-01-02,3,09:00,60,60,236,A,4,0.5000,completed,actual
126,2024-01-02,3,10:15,30,30,280,C,5,0.5000,completed,actual
127,2024-01-02,3,11:00,45,45,394,B,4,0.5000,completed,actual
128,2024-01-02,3,12:00,30,0,781,B,5,0.5000,no_show,actual
129,2024-01-02,3,12:45,45,45,121,C,4,0.5000,completed,actual
130,2024-01-02,3,13:45,30,30,1600,B,4,0.5000,completed,actual
131,2024-01-02,3,14:30,45,22,309,B,5,0.5000,abbreviated,actual
132,2024-01-02,4,09:00,30,30,69,C,4,0.5000,completed,actual
133,2024-01-02,4,09:45,30,30,1914,C,4,0.5000,completed,actual
134,2024-01-02,4,10:30,30,30,1192,C,5,0.5000,completed,actual
135,2024-01-02,4,11:15,60,60,543,A,4,0.5000,completed,actual
136,2024-01-02,4,12:30,30,30,904,C,4,0.5000,completed,actual
137,2024-01-02,5,09:00,60,60,798,C,3,0.5000,completed,actual
138,2024-01-02,5,10:15,60,60,563,C,2,0.5000,completed,actual
139,2024-01-02,5,11:30,30,30,1014,B,3,0.5000,completed,actual
140,2024-01-02,5,12:15,45,22,725,A,3,0.5000,abbreviated,actual
141,2024-01-02,5,13:15,60,60,1848,B,3,0.5000,completed,actual
142,2024-01-02,5,14:30,30,30,1301,C,3,0.5000,completed,actual
143,2024-01-02,5,15:15,30,30,553,B,3,0.5000,completed,actual
144,2024-01-02,6,09:00,45,45,1931,C,5,0.5000,completed,actual
145,2024-01-02,6,10:00,60,60,531,C,4,0.5000,completed,actual
146,2024-01-02,6,11:15,30,30,1864,C,5,0.5000,completed,actual
147,2024-01-02,6,12:00,30,15,372,C,4,0.5000,abbreviated,actual
148,2024-01-02,6,12:45,60,60,117,C,4,0.5000,completed,actual
149,2024-01-02,6,14:00,30,30,1071,C,5,0.5000,completed,actual
150,2024-01-02,6,14:45,30,30,1209,B,4,0.5000,completed,actual
151,2024-01-02,6,15:30,60,30,181,B,5,0.5000,abbreviated,actual
152,2024-01-02,6,16:45,45,45,326,C,4,0.5000,completed,actual
153,2024-01-02,7,09:00,75,75,1501,A,5,0.5000,completed,actual
154,2024-01-02,7,10:30,30,30,513,C,5,0.5000,completed,actual
155,2024-01-02,7,11:15,30,30,1862,C,4,0.5000,completed,actual
156,2024-01-02,7,12:00,30,30,819,C,4,0.5000,completed,actual
157,2024-01-02,7,12:45,60,30,1138,B,5,0.5000,abbreviated,actual
158,2024-01-02,7,14:00,45,45,1369,C,5,0.5000,completed,actual
159,2024-01-02,8,09:00,45,45,1705,B,3,0.5000,completed,actual
160,2024-01-02,8,10:00,30,30,1212,B,3,0.5000,completed,actual
161,2024-01-02,8,10:45,60,60,1348,B,3,0.5000,completed,actual
162,2024-01-02,8,12:00,45,45,193,B,2,0.5000,completed,actual
163,2024-01-02,8,13:00,30,15,775,C,3,0.5000,abbreviated,actual
164,2024-01-02,8,13:45,30,0,1701,C,3,0.5000,no_show,actual
165,2024-01-02,8,14:30,30,30,272,C,3,0.5000,completed,actual
166,2024-01-02,8,15:15,45,45,1861,C,3,0.5000,completed,actual
167,2024-01-02,8,16:15,60,30,164,A,3,0.5000,abbreviated,actual
168,2024-01-02,9,09:00,45,45,1398,B,4,0.5000,completed,actual
169,2024-01-02,9,10:00,75,75,1040,B,5,0.5000,completed,actual
170,2024-01-02,9,11:30,30,15,1621,B,4,0.5000,abbreviated,actual
171,2024-01-02,9,12:15,30,30,1360,C,5,0.5000,completed,actual
172,2024-01-02,9,13:00,45,45,298,C,5,0.5000,completed,actual
173,2024-01-02,9,14:00,45,45,119,B,5,0.5000,completed,actual
174,2024-01-02,10,09:00,30,30,273,B,4,0.5000,completed,actual
175,2024-01-02,10,09:45,45,45,1187,B,5,0.5000,completed,actual
176,2024-01-02,10,10:45,30,30,878,C,5,0.5000,completed,actual
177,2024-01-02,10,11:30,75,75,972,B,4,0.5000,completed,actual
178,2024-01-02,11,09:00,30,30,1596,B,1,0.5000,completed,actual
179,2024-01-02,11,09:45,45,45,1410,B,1,0.5000,completed,actual
180,2024-01-02,11,10:45,75,75,158,A,0,0.5000,completed,actual
181,2024-01-02,11,12:15,30,30,765,C,1,0.5000,completed,actual
182,2024-01-02,11,13:00,30,30,1114,C,0,0.5000,completed,actual
183,2024-01-02,11,13:45,45,45,1858,A,0,0.5000,completed,actual
184,2024-01-02,11,14:45,30,15,581,C,1,0.5000,abbreviated,actual
185,2024-01-02,12,09:00,45,45,566,B,0,0.5000,completed,actual
186,2024-01-02,12,10:00,60,60,34,B,1,0.5000,completed,actual
187,2024-01-02,12,11:15,30,30,953,C,0,0.5000,completed,actual
188,2024-01-02,12,12:00,45,45,681,A,1,0.5000,completed,actual
189,2024-01-02,12,13:00,30,30,1135,B,1,0.5000,completed,actual
190,2024-01-02,12,13:45,45,22,1494,C,0,0.5000,abbreviated,actual
191,2024-01-02,12,14:45,45,45,622,B,1,0.5000,completed,actual
192,2024-01-02,13,09:00,30,30,1507,C,4,0.5000,completed,actual
193,2024-01-02,13,09:45,30,15,613,C,4,0.5000,abbreviated,actual
194,2024-01-02,13,10:30,45,45,1305,C,4,0.5000,completed,actual
195,2024-01-02,13,11:30,30,15,497,C,5,0.5000,abbreviated,actual
196,2024-01-02,13,12:15,30,30,547,C,5,0.5000,completed,actual
197,2024-01-02,13,13:00,30,15,1433,C,4,0.5000,abbreviated,actual
198,2024-01-02,13,13:45,45,45,1372,B,4,0.5000,completed,actual
199,2024-01-02,13,14:45,30,30,1976,C,4,0.5000,completed,actual
200,2024-01-02,16,09:00,30,30,40,C,1,0.5000,completed,actual
201,2024-01-02,16,09:45,60,60,1427,C,1,0.5000,completed,actual
202,2024-01-02,16,11:00,60,60,298,C,1,0.5000,completed,actual
203,2024-01-02,16,12:15,75,75,1438,A,1,0.5000,completed,actual
204,2024-01-02,16,13:45,30,15,1560,C,1,0.5000,abbreviated,actual
205,2024-01-02,17,09:00,60,60,1382,C,3,0.5000,completed,actual
206,2024-01-02,17,10:15,30,30,1240,C,2,0.5000,completed,actual
207,2024-01-02,17,11:00,60,30,1245,C,3,0.5000,abbreviated,actual
208,2024-01-02,17,12:15,75,75,1824,B,3,0.5000,completed,actual
209,2024-01-02,17,13:45,30,30,1084,C,2,0.5000,completed,actual
210,2024-01-02,17,14:30,30,30,1530,C,2,0.5000,completed,actual
211,2024-01-02,18,09:00,45,45,1824,B,3,0.5000,completed,actual
212,2024-01-02,18,10:00,30,30,1557,C,2,0.5000,completed,actual
213,2024-01-02,18,10:45,60,60,1481,A,3,0.5000,completed,actual
214,2024-01-02,18,12:00,30,30,1885,B,3,0.5000,completed,actual
215,2024-01-02,18,12:45,45,45,164,A,3,0.5000,completed,actual
216,2024-01-02,18,13:45,30,30,928,C,3,0.5000,completed,actual
217,2024-01-02,18,14:30,30,30,1155,B,3,0.5000,completed,actual
218,2024-01-02,19,09:00,45,45,1267,C,0,0.5000,completed,actual
219,2024-01-02,19,10:00,30,30,367,C,1,0.5000,completed,actual
220,2024-01-02,19,10:45,30,30,1901,C,1,0.5000,completed,actual
221,2024-01-02,19,11:30,75,75,556,B,1,0.5000,completed,actual
222,2024-01-02,19,13:00,30,30,907,B,1,0.5000,completed,actual
223,2024-01-02,19,13:45,30,15,806,B,0,0.5000,abbreviated,actual
224,2024-01-02,19,14:30,45,45,1680,B,1,0.5000,completed,actual
225,2024-01-03,0,09:00,30,30,199,B,0,0.5000,completed,actual
226,2024-01-03,0,09:45,30,15,1653,C,0,0.5000,abbreviated,actual
227,2024-01-03,0,10:30,30,30,1335,B,1,0.5000,completed,actual
228,2024-01-03,0,11:15,30,15,1317,C,1,0.5000,abbreviated,actual
229,2024-01-03,0,12:00,30,30,1325,B,1,0.5000,completed,actual
230,2024-01-03,0,12:45,30,30,88,C,0,0.5000,completed,actual
231,2024-01-03,0,13:30,30,30,274,C,0,0.5000,completed,actual
232,2024-01-03,0,14:15,30,30,1240,C,0,0.5000,completed,actual
233,2024-01-03,0,15:00,30,30,1429,C,0,0.5000,completed,actual
234,2024-01-03,0,15:45,45,45,925,C,0,0.5000,completed,actual
235,2024-01-03,1,09:00,60,60,1252,C,0,0.5000,completed,actual
236,2024-01-03,1,10:15,30,30,1856,C,0,0.5000,completed,actual
237,2024-01-03,1,11:00,30,30,240,C,0,0.5000,completed,actual
238,2024-01-03,1,11:45,30,15,271,C,0,0.5000,abbreviated,actual
239,2024-01-03,1,12:30,45,45,1250,C,0,0.5000,completed,actual
240,2024-01-03,1,13:30,60,60,1038,B,1,0.5000,completed,actual
241,2024-01-03,1,14:45,60,60,1374,C,1,0.5000,completed,actual
242,2024-01-03,2,09:00,60,30,929,A,0,0.5000,abbreviated,actual
243,2024-01-03,2,10:15,60,60,1090,B,0,0.5000,completed,actual
244,2024-01-03,2,11:30,30,30,412,B,1,0.5000,completed,actual
245,2024-01-03,2,12:15,30,15,1138,B,1,0.5000,abbreviated,actual
246,2024-01-03,2,13:00,45,45,111,B,0,0.5000,completed,actual
247,2024-01-03,2,14:00,30,30,1740,B,1,0.5000,completed,actual
248,2024-01-03,2,14:45,30,0,158,A,0,0.5000,no_show,actual
249,2024-01-03,2,15:30,30,15,1748,C,0,0.5000,abbreviated,actual
250,2024-01-03,3,09:00,60,60,1704,B,5,0.5000,completed,actual
251,2024-01-03,3,10:15,30,30,1616,B,5,0.5000,completed,actual
252,2024-01-03,3,11:00,60,60,1623,B,4,0.5000,completed,actual
253,2024-01-03,3,12:15,30,30,79,C,4,0.5000,completed,actual
254,2024-01-03,3,13:00,30,15,859,C,4,0.5000,abbreviated,actual
255,2024-01-03,3,13:45,30,30,409,C,4,0.5000,completed,actual
256,2024-01-03,3,14:30,30,30,895,C,5,0.5000,completed,actual
257,2024-01-03,3,15:15,45,45,846,B,4,0.5000,completed,actual
258,2024-01-03,3,16:15,45,45,1821,C,5,0.5000,completed,actual
259,2024-01-03,4,09:00,60,0,528,B,4,0.5000,no_show,actual
260,2024-01-03,4,10:15,30,30,1914,C,4,0.5000,completed,actual
261,2024-01-03,4,11:00,45,45,1752,C,4,0.5000,completed,actual
262,2024-01-03,4,12:00,60,60,1548,B,4,0.5000,completed,actual
263,2024-01-03,4,13:15,30,30,1567,A,4,0.5000,completed,actual
264,2024-01-03,4,14:00,45,45,326,C,4,0.5000,completed,actual
265,2024-01-03,4,15:00,45,22,1099,C,5,0.5000,abbreviated,actual
266,2024-01-03,4,16:00,45,45,22,A,5,0.5000,completed,actual
267,2024-01-03,5,09:00,30,30,302,B,3,0.5000,completed,actual
268,2024-01-03,5,09:45,30,30,1394,C,2,0.5000,completed,actual
269,2024-01-03,5,10:30,45,45,793,C,2,0.5000,completed,actual
270,2024-01-03,5,11:30,60,0,933,C,3,0.5000,no_show,actual
271,2024-01-03,5,12:45,30,30,1291,C,3,0.5000,completed,actual
272,2024-01-03,5,13:30,60,60,876,A,2,0.5000,completed,actual
273,2024-01-03,6,09:00,45,45,561,C,4,0.5000,completed,actual
274,2024-01-03,6,10:00,30,30,1191,C,5,0.5000,completed,actual
275,2024-01-03,6,10:45,75,75,525,A,4,0.5000,completed,actual
276,2024-01-03,6,12:15,60,60,1808,B,4,0.5000,completed,actual
277,2024-01-03,6,13:30,60,60,1995,A,5,0.5000,completed,actual
278,2024-01-03,6,14:45,30,30,1219,C,4,0.5000,completed,actual
279,2024-01-03,6,15:30,30,30,651,C,5,0.5000,completed,actual
280,2024-01-03,6,16:15,60,60,1274,C,4,0.5000,completed,actual
281,2024-01-03,7,09:00,45,45,1880,C,4,0.5000,completed,actual
282,2024-01-03,7,10:00,45,45,952,B,4,0.5000,completed,actual
283,2024-01-03,7,11:00,60,60,180,A,4,0.5000,completed,actual
284,2024-01-03,7,12:15,45,45,1501,A,5,0.5000,completed,actual
285,2024-01-03,7,13:15,30,30,1819,B,4,0.5000,completed,actual
286,2024-01-03,7,14:00,45,45,462,C,5,0.5000,completed,actual
287,2024-01-03,8,09:00,30,30,1999,C,3,0.5000,completed,actual
288,2024-01-03,8,09:45,45,45,1277,C,3,0.5000,completed,actual
289,2024-01-03,8,10:45,60,60,1928,B,3,0.5000,completed,actual
290,2024-01-03,8,12:00,60,60,774,B,2,0.5000,completed,actual
291,2024-01-03,8,13:15,30,30,1920,C,2,0.5000,completed,actual
292,2024-01-03,9,09:00,45,45,1879,C,5,0.5000,completed,actual
293,2024-01-03,9,10:00,30,0,1403,C,5,0.5000,no_show,actual
294,2024-01-03,9,10:45,45,45,1553,B,4,0.5000,completed,actual
295,2024-01-03,9,11:45,60,60,1682,B,4,0.5000,completed,actual
296,2024-01-03,9,13:00,45,45,1562,B,4,0.5000,completed,actual
297,2024-01-03,9,14:00,30,30,190,B,4,0.5000,completed,actual
298,2024-01-03,9,14:45,45,45,1298,B,5,0.5000,completed,actual
299,2024-01-03,9,15:45,45,22,1813,C,5,0.5000,abbreviated,actual
300,2024-01-03,10,09:00,45,45,103,A,4,0.5000,completed,actual
301,2024-01-03,10,10:00,30,30,1577,A,5,0.5000,completed,actual
302,2024-01-03,10,10:45,45,45,1859,B,5,0.5000,completed,actual
303,2024-01-03,10,11:45,60,60,1051,B,4,0.5000,completed,actual
304,2024-01-03,10,13:00,45,22,1950,B,5,0.5000,abbreviated,actual
305,2024-01-03,11,09:00,60,60,683,A,1,0.5000,completed,actual
306,2024-01-03,11,10:15,60,30,1869,B,1,0.5000,abbreviated,actual
307,2024-01-03,11,11:30,30,30,1463,C,0,0.5000,completed,actual
308,2024-01-03,11,12:15,45,45,1318,A,0,0.5000,completed,actual
309,2024-01-03,11,13:15,60,30,763,A,1,0.5000,abbreviated,actual
310,2024-01-03,11,14:30,30,30,778,B,1,0.5000,completed,actual
311,2024-01-03,11,15:15,60,60,1169,A,0,0.5000,completed,actual
312,2024-01-03,11,16:30,30,30,1074,C,1,0.5000,completed,actual
313,2024-01-03,12,09:00,75,75,1154,A,0,0.5000,completed,actual
314,2024-01-03,12,10:30,45,45,235,B,1,0.5000,completed,actual
315,2024-01-03,12,11:30,45,0,978,C,1,0.5000,no_show,actual
316,2024-01-03,12,12:30,60,60,213,A,0,0.5000,completed,actual
317,2024-01-03,12,13:45,30,30,765,C,1,0.5000,completed,actual
318,2024-01-03,12,14:30,30,30,1454,C,1,0.5000,completed,actual
319,2024-01-03,12,15:15,60,60,673,B,1,0.5000,completed,actual
320,2024-01-03,16,09:00,30,30,1875,C,0,0.5000,completed,actual
321,2024-01-03,16,09:45,30,30,674,C,1,0.5000,completed,actual
322,2024-01-03,16,10:30,60,60,384,C,1,0.5000,completed,actual
323,2024-01-03,16,11:45,30,30,1267,C,0,0.5000,completed,actual
324,2024-01-03,16,12:30,30,30,1134,C,1,0.5000,completed,actual
325,2024-01-03,16,13:15,30,30,1167,C,0,0.5000,completed,actual
326,2024-01-03,17,09:00,75,75,637,A,3,0.5000,completed,actual
327,2024-01-03,17,10:30,75,75,763,A,3,0.5000,completed,actual
328,2024-01-03,17,12:00,45,45,109,C,2,0.5000,completed,actual
329,2024-01-03,17,13:00,45,45,965,C,3,0.5000,completed,actual
330,2024-01-03,17,14:00,60,60,1824,B,3,0.5000,completed,actual
331,2024-01-03,17,15:15,60,60,685,A,3,0.5000,completed,actual
332,2024-01-03,18,09:00,45,45,1178,C,3,0.5000,completed,actual
333,2024-01-03,18,10:00,30,30,832,C,3,0.5000,completed,actual
334,2024-01-03,18,10:45,30,30,1944,C,3,0.5000,completed,actual
335,2024-01-03,18,11:30,30,30,730,C,3,0.5000,completed,actual
336,2024-01-03,18,12:15,30,30,1467,A,3,0.5000,completed,actual
337,2024-01-03,18,13:00,45,45,1751,C,3,0.5000,completed,actual
338,2024-01-03,18,14:00,30,30,905,C,2,0.5000,completed,actual
339,2024-01-03,18,14:45,30,30,91,B,3,0.5000,completed,actual
340,2024-01-03,19,09:00,45,45,845,B,0,0.5000,completed,actual
341,2024-01-03,19,10:00,30,30,1618,C,0,0.5000,completed,actual
342,2024-01-03,19,10:45,30,30,328,C,0,0.5000,completed,actual
343,2024-01-03,19,11:30,60,60,1235,B,0,0.5000,completed,actual
344,2024-01-03,19,12:45,45,45,1053,A,1,0.5000,completed,actual
345,2024-01-03,19,13:45,60,60,362,C,1,0.5000,completed,actual
346,2024-01-03,19,15:00,30,30,1386,C,1,0.5000,completed,actual
347,2024-01-03,19,15:45,45,45,1691,B,1,0.5000,completed,actual
348,2024-01-04,0,09:00,60,60,1009,A,0,0.5000,completed,actual
349,2024-01-04,0,10:15,30,30,1179,C,1,0.5000,completed,actual
350,2024-01-04,0,11:00,30,30,934,B,1,0.5000,completed,actual
351,2024-01-04,0,11:45,45,45,1176,B,1,0.5000,completed,actual
352,2024-01-04,0,12:45,30,30,692,B,1,0.5000,completed,actual
353,2024-01-04,0,13:30,30,30,1003,C,0,0.5000,completed,actual
354,2024-01-04,0,14:15,45,45,1838,C,1,0.5000,completed,actual
355,2024-01-04,1,09:00,75,75,1195,A,1,0.5000,completed,actual
356,2024-01-04,1,10:30,30,15,416,C,0,0.5000,abbreviated,actual
357,2024-01-04,1,11:15,30,15,1863,B,0,0.5000,abbreviated,actual
358,2024-01-04,1,12:00,60,60,1111,A,1,0.5000,completed,actual
359,2024-01-04,1,13:15,45,45,871,A,0,0.5000,completed,actual
360,2024-01-04,1,14:15,60,30,1374,C,1,0.5000,abbreviated,actual
361,2024-01-04,1,15:30,45,45,240,C,0,0.5000,completed,actual
362,2024-01-04,1,16:30,45,22,1359,C,1,0.5000,abbreviated,actual
363,2024-01-04,2,09:00,30,30,1034,C,0,0.5000,completed,actual
364,2024-01-04,2,09:45,30,30,857,C,1,0.5000,completed,actual
365,2024-01-04,2,10:30,60,60,1590,A,1,0.5000,completed,actual
366,2024-01-04,2,11:45,30,30,1608,C,1,0.5000,completed,actual
367,2024-01-04,2,12:30,30,30,1592,C,1,0.5000,completed,actual
368,2024-01-04,2,13:15,30,30,1065,B,0,0.5000,completed,actual
369,2024-01-04,2,14:00,30,15,1849,C,1,0.5000,abbreviated,actual
370,2024-01-04,2,14:45,30,30,412,B,1,0.5000,completed,actual
371,2024-01-04,2,15:30,45,45,790,B,0,0.5000,completed,actual
372,2024-01-04,3,09:00,30,30,519,C,4,0.5000,completed,actual
373,2024-01-04,3,09:45,45,45,848,B,5,0.5000,completed,actual
374,2024-01-04,3,10:45,30,30,900,C,5,0.5000,completed,actual
